"ItemCode","RowId","WarehouseCode","InfoCode3","InfoCode5","Length","Width","Height","Unit","BarCodeTP","RowId_WO","BizDocId_WO","DocNo_WO","ItemName","InfoName","InfoName3","InfoName5","IFDName","LocationCode","InfoCode","ReceiptQuantity","ReceiptQuantity9","DeliveryQuantity","DeliveryQuantity9","CloseInventory","CloseInventory9","Color","Id","ParentId","IsGroup","Remark","Remark1","ClassCode","TimeSheet","TimeCount","ReceiptDate","DeliveryDate","ReceiptDate1","DeliveryDate1","ReceiptNo","DeliveryNo","Level","_GroupOrder","_FormatStyleKey"
FB00002,A0200003701283PX,TP20,SPM061,DCM07,1960.00,2060.00,870.00,tấm,"1800002200001468134003",A0200001468134WO,A0200000404897WO,WB2606-0011,GAM40-50N XANH,GAM40-50NH50,GAM40-50N,H50,"",M7,GAM40-50NH50,3.5130,1.0000,3.5130,1.0000,0.0000,0.00,"",79028,79023,0,ASHT-883.FOAM BLOCK--Mousse block,"",SX THEO DON HANG,0.00,47.00,2026-06-13 09:01:17.510,2026-06-15 08:47:04.990,2026-06-13 00:00:00.000,2026-06-15 00:00:00.000,KK0009.06/26,XB0032.06/26,0,"",""
FB00002,A0200003701281PX,TP20,SPM061,DCM07,1970.00,2060.00,870.00,tấm,"1800002200001468134004",A0200001468134WO,A0200000404897WO,WB2606-0011,GAM40-50N XANH,GAM40-50NH50,GAM40-50N,H50,"",M7,GAM40-50NH50,3.5310,1.0000,3.5310,1.0000,0.0000,0.00,"",79028,79023,0,ASHT-883.FOAM BLOCK--Mousse block,"",SX THEO DON HANG,0.00,47.00,2026-06-13 09:01:17.483,2026-06-15 08:47:04.960,2026-06-13 00:00:00.000,2026-06-15 00:00:00.000,KK0009.06/26,XB0032.06/26,0,"",""
FB00002,A0200003701277PX,TP20,SPM061,DCM07,1960.00,2060.00,870.00,tấm,"1800002200001468134005",A0200001468134WO,A0200000404897WO,WB2606-0011,GAM40-50N XANH,GAM40-50NH50,GAM40-50N,H50,"",M7,GAM40-50NH50,3.5130,1.0000,3.5130,1.0000,0.0000,0.00,"",79028,79023,0,ASHT-883.FOAM BLOCK--Mousse block,"",SX THEO DON HANG,0.00,47.00,2026-06-13 09:01:17.580,2026-06-15 08:47:04.900,2026-06-13 00:00:00.000,2026-06-15 00:00:00.000,KK0009.06/26,XB0032.06/26,0,"",""
FB00002,A0200003701278PX,TP20,SPM061,DCM07,1970.00,2060.00,870.00,tấm,"1800002200001468134006",A0200001468134WO,A0200000404897WO,WB2606-0011,GAM40-50N XANH,GAM40-50NH50,GAM40-50N,H50,"",M7,GAM40-50NH50,3.5310,1.0000,3.5310,1.0000,0.0000,0.00,"",79028,79023,0,ASHT-883.FOAM BLOCK--Mousse block,"",SX THEO DON HANG,0.00,47.00,2026-06-13 09:01:17.543,2026-06-15 08:47:04.913,2026-06-13 00:00:00.000,2026-06-15 00:00:00.000,KK0009.06/26,XB0032.06/26,0,"",""
FB00002,A0200003701279PX,TP20,SPM061,DCM07,1960.00,2060.00,860.00,tấm,"1800002200001468134007",A0200001468134WO,A0200000404897WO,WB2606-0011,GAM40-50N XANH,GAM40-50NH50,GAM40-50N,H50,"",M7,GAM40-50NH50,3.4720,1.0000,3.4720,1.0000,0.0000,0.00,"",79028,79023,0,ASHT-883.FOAM BLOCK--Mousse block,"",SX THEO DON HANG,0.00,47.00,2026-06-13 09:01:17.560,2026-06-15 08:47:04.930,2026-06-13 00:00:00.000,2026-06-15 00:00:00.000,KK0009.06/26,XB0032.06/26,0,"",""
FB00002,A0200003709678PX,TP20,SPM061,DCM07,1550.00,2060.00,860.00,tấm,"1800002200001468483001",A0200001468483WO,A0200000405046WO,WB2606-0013,GAM40-50N XANH,GAM40-50NH50,GAM40-50N,H50,"",M7,GAM40-50NH50,2.7460,1.0000,2.7460,1.0000,0.0000,0.00,"",79028,79023,0,"","",SX THEO DON HANG,0.00,766.00,2026-06-15 12:45:00.023,2026-07-17 10:17:28.470,2026-06-15 00:00:00.000,2026-07-17 00:00:00.000,KK0010.06/26,XB0037.07/26,0,"",""
FB00002,A0200003703566PX,TP20,SPM061,DCM07,1950.00,2050.00,850.00,tấm,"1800002200001469289001",A0200001469289WO,A0200000405264WO,WB2606-0019,GAM40-50N XANH,GAM40-50NH50,GAM40-50N,H50,"",M7,GAM40-50NH50,3.3980,1.0000,3.3980,1.0000,0.0000,0.00,"",79028,79023,0,ASHT-888.FOAM BLOCK--Mousse block,"",SX THEO ĐƠN HÀNG,0.00,116.00,2026-06-19 13:02:47.597,2026-06-24 09:37:08.207,2026-06-19 00:00:00.000,2026-06-23 00:00:00.000,KK0013.06/26,XB0051.06/26,0,"",""
FB00002,A0200003703564PX,TP20,SPM061,DCM07,1950.00,2050.00,870.00,tấm,"1800002200001469289002",A0200001469289WO,A0200000405264WO,WB2606-0019,GAM40-50N XANH,GAM40-50NH50,GAM40-50N,H50,"",M7,GAM40-50NH50,3.4780,1.0000,3.4780,1.0000,0.0000,0.00,"",79028,79023,0,ASHT-888.FOAM BLOCK--Mousse block,"",SX THEO ĐƠN HÀNG,0.00,116.00,2026-06-19 13:02:47.587,2026-06-24 09:37:08.197,2026-06-19 00:00:00.000,2026-06-23 00:00:00.000,KK0013.06/26,XB0051.06/26,0,"",""
FB00002,A0200003703562PX,TP20,SPM061,DCM07,1950.00,2050.00,850.00,tấm,"1800002200001469289003",A0200001469289WO,A0200000405264WO,WB2606-0019,GAM40-50N XANH,GAM40-50NH50,GAM40-50N,H50,"",M7,GAM40-50NH50,3.3980,1.0000,3.3980,1.0000,0.0000,0.00,"",79028,79023,0,ASHT-888.FOAM BLOCK--Mousse block,"",SX THEO ĐƠN HÀNG,0.00,116.00,2026-06-19 13:02:47.603,2026-06-24 09:37:08.173,2026-06-19 00:00:00.000,2026-06-23 00:00:00.000,KK0013.06/26,XB0051.06/26,0,"",""
FB00002,A0200003703565PX,TP20,SPM061,DCM07,1970.00,2050.00,850.00,tấm,"1800002200001469289004",A0200001469289WO,A0200000405264WO,WB2606-0019,GAM40-50N XANH,GAM40-50NH50,GAM40-50N,H50,"",M7,GAM40-50NH50,3.4330,1.0000,3.4330,1.0000,0.0000,0.00,"",79028,79023,0,ASHT-888.FOAM BLOCK--Mousse block,"",SX THEO ĐƠN HÀNG,0.00,116.00,2026-06-19 13:02:47.590,2026-06-24 09:37:08.197,2026-06-19 00:00:00.000,2026-06-23 00:00:00.000,KK0013.06/26,XB0051.06/26,0,"",""
